"","name","accept_rate","Outstate","Enroll","Grad.Rate","Private","isElite"
"233","Graceland College",0.745945945945946,9100,242,47,"Yes","Not Elite"
"234","Grand Valley State University",0.752565343659245,6108,1561,57,"No","Not Elite"
"235","Green Mountain College",0.805128205128205,11750,198,76,"Yes","Not Elite"
"236","Greensboro College",0.8125,8330,176,39,"Yes","Not Elite"
"237","Greenville College",0.758823529411765,10310,194,60,"Yes","Not Elite"
"238","Grinnell College",0.681216282491417,15688,432,83,"Yes","Elite"
"239","Grove City College",0.445604175030108,5224,573,100,"Yes","Elite"
"240","Guilford College",0.876871880199667,13404,326,65,"Yes","Not Elite"
"241","Gustavus Adolphus College",0.810415447630193,14125,634,80,"Yes","Not Elite"
"242","Gwynedd Mercy College",0.623684210526316,11000,104,96,"Yes","Not Elite"
"243","Hamilton College",0.567834394904459,19700,454,91,"Yes","Not Elite"
"244","Hamline University",0.820079522862823,13252,328,65,"Yes","Not Elite"
"245","Hampden - Sydney College",0.788249694002448,13218,307,69,"Yes","Not Elite"
"246","Hampton University",0.523126219002508,7161,1433,70,"Yes","Not Elite"
"247","Hanover College",0.832007952286282,8200,317,64,"Yes","Not Elite"
"248","Hardin-Simmons University",0.907922912205567,6300,350,38,"Yes","Not Elite"
"249","Harding University",0.620569436374201,5504,806,73,"Yes","Not Elite"
"250","Hartwick College",0.828132501200192,17480,430,73,"Yes","Not Elite"
"251","Harvard University",0.156148575549946,18485,1606,100,"Yes","Elite"
"252","Harvey Mudd College",0.415395787944808,17230,178,100,"Yes","Elite"
"253","Hastings College",0.866585067319461,9376,262,52,"Yes","Not Elite"
"254","Hendrix College",0.876063183475091,8800,274,63,"Yes","Elite"
"255","Hillsdale College",0.809782608695652,11090,347,79,"Yes","Not Elite"
"256","Hiram College",0.790672451193059,14067,244,79,"Yes","Not Elite"
"257","Hobart and William Smith Colleges",0.774181547619048,19029,500,79,"Yes","Not Elite"
"258","Hofstra University",0.788906838987614,11600,1349,60,"Yes","Not Elite"
"259","Hollins College",0.827242524916944,13470,215,72,"Yes","Not Elite"
"260","Hood College",0.80829756795422,13960,176,72,"Yes","Not Elite"
"261","Hope College",0.866238317757009,12275,624,72,"Yes","Not Elite"
"262","Houghton College",0.828240252897787,9990,302,67,"Yes","Not Elite"
"263","Huntingdon College",0.855263157894737,8080,127,44,"Yes","Not Elite"
"264","Huntington College",0.955555555555556,9950,125,47,"Yes","Not Elite"
"265","Huron University",0.328333333333333,7260,124,21,"Yes","Not Elite"
"266","Husson College",0.90179806362379,7800,361,84,"Yes","Not Elite"
"267","Illinois Benedictine College",0.919275123558484,10500,269,75,"Yes","Not Elite"
"268","Illinois College",0.880313199105145,8050,262,52,"Yes","Not Elite"
"269","Illinois Institute of Technology",0.774487471526196,14550,478,56,"Yes","Not Elite"
"270","Illinois State University",0.771224513304919,7799,2408,54,"No","Not Elite"
"271","Illinois Wesleyan University",0.44,14360,471,83,"Yes","Elite"
"272","Immaculata College",0.944029850746269,10000,103,69,"Yes","Not Elite"
"273","Incarnate Word College",0.797076526225279,8840,386,95,"Yes","Not Elite"
"274","Indiana State University",0.841314719915179,6892,3147,40,"No","Not Elite"
"275","Indiana University at Bloomington",0.798396334478809,9766,5873,68,"No","Not Elite"
"276","Indiana Wesleyan University",0.575510204081633,9210,366,34,"Yes","Not Elite"
"277","Iona College",0.721586263286999,10690,913,66,"Yes","Not Elite"
"278","Iowa State University",0.880977809422096,7550,3441,65,"No","Not Elite"
"279","Ithaca College",0.761261881801901,14424,1368,75,"Yes","Not Elite"
"280","James Madison University",0.470907956874276,7994,2082,98,"No","Not Elite"
"281","Jamestown College",0.86864406779661,7620,262,54,"Yes","Not Elite"
"282","Jersey City State College",0.481230977341901,3946,691,26,"No","Not Elite"
"283","John Brown University",0.669421487603306,6398,284,75,"Yes","Not Elite"
"284","John Carroll University",0.871127633209418,11700,820,89,"Yes","Not Elite"
"285","Johns Hopkins University",0.406655652584376,18800,911,90,"Yes","Elite"
"286","Johnson State College",0.8031212484994,7656,279,36,"No","Not Elite"
"287","Judson College",0.728434504792332,9414,137,56,"Yes","Not Elite"
"288","Juniata College",0.854726368159204,14850,298,80,"Yes","Not Elite"
"289","Kansas State University",0.693027210884354,6995,2833,54,"No","Not Elite"
"290","Kansas Wesleyan University",0.976230899830221,8400,148,68,"Yes","Not Elite"
"291","Keene State College",0.783723165652035,7870,822,61,"No","Not Elite"
"292","Kentucky Wesleyan College",0.851027397260274,8000,175,62,"Yes","Not Elite"
"293","Kenyon College",0.695298372513562,19240,408,88,"Yes","Not Elite"
"294","Keuka College",0.82646420824295,9600,174,51,"Yes","Not Elite"
"295","King's College",0.723214285714286,10910,381,87,"Yes","Not Elite"
"296","King College",0.845070422535211,8664,142,65,"Yes","Not Elite"
"297","Knox College",0.8125,15747,286,79,"Yes","Not Elite"
"298","La Roche College",0.889196675900277,8842,185,52,"Yes","Not Elite"
"299","La Salle University",0.626152270399454,12600,622,84,"Yes","Not Elite"
"300","Lafayette College",0.599002493765586,18730,572,92,"Yes","Not Elite"
"301","LaGrange College",0.733455882352941,6987,177,75,"Yes","Not Elite"
"302","Lake Forest College",0.651685393258427,16880,271,77,"Yes","Not Elite"
"303","Lakeland College",0.909456740442656,9400,231,57,"Yes","Not Elite"
"304","Lamar University",0.738441780821918,4752,1043,26,"No","Not Elite"
"305","Lambuth University",0.647412755716005,5170,224,60,"Yes","Not Elite"
"306","Lander University",0.865351629502573,4938,510,51,"No","Not Elite"
"307","Lawrence University",0.761866452131939,17163,324,77,"Yes","Not Elite"
"308","Le Moyne College",0.815646258503401,11040,425,94,"Yes","Not Elite"
"309","Lebanon Valley College",0.764790764790765,13850,320,85,"Yes","Not Elite"
"310","Lehigh University",0.672815382210411,18700,1092,91,"Yes","Not Elite"
"311","Lenoir-Rhyne College",0.758937691521961,10100,259,66,"Yes","Not Elite"
"312","Lesley College",0.811475409836066,11700,82,58,"Yes","Not Elite"
"313","LeTourneau University",0.874213836477987,8840,204,56,"Yes","Not Elite"
"314","Lewis and Clark College",0.754145638067772,15800,482,69,"Yes","Not Elite"
"315","Lewis University",0.909878682842288,10560,395,61,"Yes","Not Elite"
"316","Lincoln Memorial University",0.714104193138501,5950,363,53,"Yes","Not Elite"
"317","Lincoln University",0.657228915662651,4818,326,45,"No","Not Elite"
"318","Lindenwood College",0.597530864197531,9200,356,100,"Yes","Not Elite"
"319","Linfield College",0.761050608584241,13380,458,81,"Yes","Not Elite"
"320","Livingstone College",0.525555555555556,4400,217,92,"Yes","Not Elite"
"321","Lock Haven University of Pennsylvania",0.620448179271709,7352,651,63,"No","Not Elite"
"322","Longwood College",0.680742628321806,7920,724,62,"No","Not Elite"
"323","Loras College",0.781840341255332,11200,527,70,"Yes","Not Elite"
"324","Louisiana College",0.523099850968703,5150,212,59,"Yes","Not Elite"
"325","Louisiana State University at Baton Rouge",0.832721814543029,5925,3079,37,"No","Not Elite"
"326","Louisiana Tech University",0.894451397580309,3957,1525,45,"No","Not Elite"
"327","Loyola College",0.769627085377821,12990,738,80,"Yes","Not Elite"
"328","Loyola Marymount University",0.706475583864119,13592,753,84,"Yes","Not Elite"
"329","Loyola University",0.897937599153887,11100,719,53,"Yes","Not Elite"
"330","Loyola University Chicago",0.826767253422744,11500,868,65,"Yes","Not Elite"
"331","Luther College",0.89864428663654,13240,587,77,"Yes","Not Elite"
"332","Lycoming College",0.78149300155521,13900,363,72,"Yes","Not Elite"
"333","Lynchburg College",0.854214123006834,12450,366,70,"Yes","Not Elite"
"334","Lyndon State College",0.938317757009346,7320,223,51,"No","Not Elite"
"335","Macalester College",0.50901667233753,15909,452,77,"Yes","Elite"
"336","MacMurray College",0.754054054054054,9620,177,59,"Yes","Not Elite"
"337","Malone College",0.867276887871854,9858,428,55,"Yes","Not Elite"
"338","Manchester College",0.798804780876494,10440,239,64,"Yes","Not Elite"
"339","Manhattan College",0.711348684210526,12370,563,79,"Yes","Not Elite"
"340","Manhattanville College",0.77962577962578,14700,212,70,"Yes","Not Elite"
"341","Mankato State University",0.869508623494956,4300,1547,68,"No","Not Elite"
"342","Marian College of Fond du Lac",0.813106796116505,9400,337,59,"Yes","Not Elite"
"343","Marietta College",0.595903165735568,13850,342,96,"Yes","Not Elite"
"344","Marist College",0.670259987317692,10700,830,69,"Yes","Not Elite"
"345","Marquette University",0.892857142857143,11610,1685,77,"Yes","Not Elite"
"346","Marshall University",0.867486985328916,5094,2007,50,"Yes","Not Elite"
"347","Mary Baldwin College",0.88376753507014,11200,199,90,"Yes","Not Elite"
"348","Mary Washington College",0.500689655172414,6490,756,84,"No","Not Elite"
"349","Marymount College Tarrytown",0.684100418410042,11510,117,77,"Yes","Not Elite"
"350","Marymount Manhattan College",0.76978417266187,10200,239,68,"Yes","Not Elite"
"351","Marymount University",0.820403825717322,11390,214,55,"Yes","Not Elite"
"352","Maryville College",0.60655737704918,11200,176,51,"Yes","Not Elite"
"353","Maryville University",0.723132969034608,9250,169,61,"Yes","Not Elite"
"354","Marywood College",0.775971093044264,11040,323,66,"Yes","Not Elite"
"355","Massachusetts Institute of Technology",0.33380127905163,20100,1078,94,"Yes","Elite"
"356","Mayville State University",1,4486,153,51,"No","Not Elite"
"357","McKendree College",0.553892215568862,7680,119,52,"Yes","Not Elite"
"358","McMurry University",0.711072664359862,6930,187,32,"Yes","Not Elite"
"359","McPherson College",0.697619047619048,7950,93,48,"Yes","Not Elite"
"360","Mercer University",0.729658792650919,11985,564,91,"Yes","Not Elite"
"361","Mercyhurst College",0.689788053949904,9813,397,78,"Yes","Not Elite"
"362","Meredith College",0.900816802800467,6720,376,82,"Yes","Not Elite"
"363","Merrimack College",0.7778899545684,12500,514,80,"Yes","Not Elite"
"364","Mesa State College",0.919191919191919,5016,891,59,"No","Not Elite"
"365","Messiah College",0.793340987370838,10300,607,89,"Yes","Not Elite"
"366","Miami University at Oxford",0.842948371035826,8856,3290,85,"No","Not Elite"
"367","Michigan State University",0.833388539251408,10658,6180,71,"No","Not Elite"
"368","Michigan Technological University",0.873949579831933,8127,1032,65,"No","Not Elite"
"369","MidAmerica Nazarene College",1,6840,225,49,"Yes","Not Elite"
"370","Millersville University of Penn.",0.511562136083846,7844,960,71,"No","Not Elite"
"371","Milligan College",0.755737704918033,8200,189,64,"Yes","Not Elite"
"372","Millikin University",0.873268698060942,11910,456,75,"Yes","Not Elite"
"373","Millsaps College",0.921546961325967,11320,319,58,"Yes","Not Elite"
"374","Milwaukee School of Engineering",0.894001643385374,11505,496,67,"Yes","Not Elite"
